dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2018-12-01,1,0,0,0,1,0,0,1,0,2,3,1,0,3,1,0,1,3,3
2019-01-01,1,0,0,0,1,0,0,4,0,1,6,0,0,3,1,0,3,5,3
2019-03-01,9,1,1,4,2,6,3,6,1,6,6,4,0,3,1,1,0,6,3
2019-04-01,14,7,9,10,3,4,0,17,2,16,3,2,0,3,1,5,2,14,3
2019-05-01,3,0,1,0,1,0,0,2,0,4,8,3,0,3,1,2,0,7,3
2019-07-01,4,1,1,1,4,0,0,59,1,3,6,1,0,3,1,9,20,15,3
2019-08-01,7,5,5,5,2,0,2,21,1,6,0,2,0,3,1,4,8,16,3
2019-12-01,2,0,0,0,1,0,0,7,0,2,3,2,0,3,1,2,2,9,3
2020-01-01,3,1,1,1,2,1,3,4,1,5,3,2,0,3,1,1,0,5,3
2020-02-01,12,4,5,5,3,1,0,35,1,16,7,2,0,3,1,6,10,18,3
2020-03-01,1,0,0,0,1,0,0,8,0,1,3,0,0,3,1,3,2,9,3
2020-04-01,3,0,0,1,1,0,0,6,0,1,6,2,0,3,1,2,2,7,3
2020-05-01,2,0,0,0,1,0,0,2,0,2,8,2,0,3,1,0,1,4,3
2020-07-01,3,1,1,1,2,0,0,14,1,3,5,2,0,3,1,1,2,9,3
2020-08-01,9,2,2,3,3,0,3,24,1,5,11,4,0,3,1,4,6,10,3
2020-09-01,5,2,2,2,2,0,5,14,1,6,3,1,0,3,1,3,2,11,3
2020-10-01,3,2,2,1,2,0,0,34,1,5,3,0,0,3,1,5,4,20,3
2020-11-01,7,0,0,0,1,0,0,19,0,7,5,0,0,3,1,2,3,26,3
2020-12-01,4,0,0,2,2,0,0,6,0,3,5,0,0,3,1,1,2,4,3
2021-01-01,7,2,2,2,3,0,0,9,1,7,11,3,0,3,1,2,2,6,3
2021-02-01,7,2,2,2,2,0,0,10,1,5,8,4,0,3,1,3,3,8,3
2021-03-01,6,2,3,2,2,0,0,10,1,5,7,1,0,3,1,1,2,9,3
2021-04-01,5,1,2,3,3,0,0,14,1,2,3,4,0,3,1,7,5,6,3
2021-05-01,7,3,3,2,4,0,0,21,1,6,5,0,0,3,1,6,1,7,3
2021-06-01,3,1,2,3,4,0,0,12,1,5,7,4,0,3,1,9,13,4,3
2021-07-01,3,0,0,0,1,0,0,2,0,2,9,3,0,3,1,3,7,4,3
2021-08-01,8,3,4,3,3,0,0,9,1,9,15,3,0,3,1,18,40,7,3
2021-09-01,2,1,1,1,2,0,0,18,1,5,14,4,0,3,1,3,3,12,3
2021-10-01,1,0,0,0,1,0,0,7,0,1,11,1,0,3,1,2,1,8,3
2021-11-01,4,1,2,2,3,0,0,14,1,4,9,3,0,3,1,3,3,6,3
2021-12-01,5,0,0,1,2,0,0,4,0,1,5,2,0,3,1,0,1,2,3
2022-01-01,4,0,0,0,1,0,0,7,0,0,11,2,0,3,1,0,1,7,3
2022-02-01,20,0,2,6,3,0,0,29,0,4,10,5,0,3,1,7,7,11,3
2022-03-01,13,3,4,2,4,0,0,38,1,15,8,1,0,3,1,4,2,14,3
2022-04-01,13,4,7,9,4,0,0,38,1,12,5,0,0,3,1,12,1,14,3
2022-05-01,2,1,1,0,1,0,0,3,1,4,5,1,0,3,1,0,0,8,3
2022-06-01,6,1,1,2,2,0,0,24,1,3,3,1,0,3,1,3,0,14,3
2022-07-01,12,5,7,7,2,0,0,55,1,13,6,0,0,3,1,7,1,37,3
2022-08-01,3,1,1,1,2,0,0,7,1,4,8,2,0,3,1,0,1,6,3
2022-10-01,6,0,1,1,1,0,0,4,0,4,8,1,0,3,1,0,1,9,3
2022-11-01,3,0,1,2,1,0,0,3,0,1,6,0,0,3,1,0,0,5,3
2022-12-01,4,0,2,1,1,0,0,32,0,4,7,0,0,3,1,3,3,38,3
2023-01-01,6,1,8,1,2,2,0,29,1,45,15,4,0,3,1,2,3,41,3
2023-02-01,11,1,1,2,2,0,0,26,1,9,6,1,0,3,1,1,2,18,3
2014-11-01,0,0,0,0,1,0,0,4,0,0,0,0,0,3,1,0,2,4,3
2014-12-01,0,0,0,0,1,0,0,1,0,0,3,0,0,3,1,0,1,1,3
2018-10-01,0,0,0,0,1,0,0,2,0,0,1,1,0,3,1,0,0,2,3
2019-06-01,0,0,1,0,3,0,0,10,0,1,9,1,0,3,1,3,3,4,3
2020-06-01,0,0,1,0,1,0,0,4,0,1,8,3,0,3,1,1,2,6,3
2023-03-01,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,6,0,0,3
