dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2018-01-01,0,0,0,0,9,0,0,0,94,0,0,1,0,1,1,17,23,10,1
2018-02-01,0,0,0,0,11,0,0,0,189,0,0,0,0,1,1,26,57,17,1
2018-04-01,0,0,0,0,11,0,0,0,410,0,0,3,0,1,1,61,160,37,1
2018-05-01,0,0,0,0,8,0,0,0,489,0,0,12,1,1,1,93,191,61,1
2018-06-01,2,0,0,0,16,1,0,0,269,0,0,3,1,1,1,30,67,16,1
2018-07-01,0,0,0,0,7,0,1,0,219,0,0,2,2,1,1,46,104,31,1
2018-08-01,1,0,0,0,7,0,0,0,198,0,0,6,0,1,1,42,81,28,1
2018-09-01,0,0,0,0,12,0,0,0,297,0,0,0,0,1,1,45,83,24,1
2018-10-01,1,0,0,0,10,0,0,0,340,0,0,5,1,1,1,51,111,34,1
2018-11-01,1,0,0,0,8,0,0,0,180,0,0,3,2,1,1,43,78,22,1
2018-12-01,1,0,0,0,9,0,0,0,122,0,0,0,0,1,1,29,53,13,1
2019-01-01,1,0,0,0,9,0,0,0,120,0,0,5,1,1,1,27,61,13,1
2019-02-01,1,0,0,0,8,0,0,0,209,0,0,2,1,1,1,29,99,26,1
2019-03-01,1,0,0,0,10,1,0,0,335,0,0,6,1,1,1,67,155,33,1
2019-04-01,0,0,0,0,10,0,0,0,297,0,0,0,0,1,1,81,159,29,1
2019-05-01,0,0,0,0,11,1,0,0,336,0,0,3,1,1,1,54,97,30,1
2019-06-01,0,0,0,0,10,0,0,0,194,0,0,4,0,1,1,55,84,19,1
2019-07-01,3,0,0,3,7,0,0,0,128,0,0,5,1,1,1,32,72,18,1
2019-10-01,0,0,0,0,9,0,0,0,160,0,0,4,4,1,1,49,98,17,1
2019-11-01,2,0,0,1,10,8,0,0,223,0,0,3,3,1,1,45,75,22,1
2019-12-01,1,0,0,0,8,1,0,0,113,0,0,2,2,1,1,27,64,14,1
2020-03-01,0,0,0,0,11,2,0,0,292,0,0,0,0,1,1,47,67,26,1
2020-08-01,1,0,0,0,7,0,0,0,149,0,0,2,3,1,1,15,40,21,1
2020-10-01,1,0,0,0,9,1,0,0,234,0,0,4,3,1,1,42,60,26,1
2021-01-01,2,0,0,0,10,1,0,0,114,0,0,1,0,1,1,25,19,11,1
2021-04-01,0,0,0,0,9,0,1,0,186,0,0,2,1,1,1,25,46,20,1
2021-06-01,0,0,0,0,7,1,0,0,64,0,0,7,5,1,1,27,21,9,1
2021-07-01,0,0,0,0,7,0,0,0,53,0,0,5,1,1,1,22,16,7,1
2021-09-01,0,0,0,0,9,0,0,0,58,0,0,0,0,1,1,10,12,6,1
2021-10-01,0,0,0,0,8,1,0,0,79,0,0,0,0,1,1,15,15,9,1
2021-11-01,0,0,0,0,4,0,0,0,23,0,0,2,1,1,1,2,3,5,1
2021-12-01,0,0,0,0,1,0,0,0,11,0,0,3,0,1,1,2,3,11,1
2022-01-01,0,0,0,0,2,0,0,0,7,0,0,1,1,1,1,5,12,3,1
2022-02-01,0,0,0,0,3,0,0,0,34,0,0,4,1,1,1,9,15,11,1
2022-03-01,0,0,0,0,4,0,0,0,79,0,0,4,2,1,1,12,23,19,1
2022-04-01,1,0,0,0,5,0,0,0,87,0,0,1,0,1,1,23,21,17,1
2022-06-01,3,0,0,0,7,0,0,0,109,0,0,3,3,1,1,25,12,15,1
2022-07-01,1,0,0,0,3,0,0,0,19,0,0,5,0,1,1,3,2,6,1
2022-08-01,0,0,0,0,4,0,0,0,8,0,0,4,2,1,1,0,0,2,1
2022-12-01,1,0,0,0,4,0,0,0,74,0,0,2,1,1,1,7,7,18,1
2023-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
2023-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1
